index,item1,item2,itemResult,showAdvice
1,SwordStarter,FireFlame,SwordStarterFire,true
2,SwordSimple,FireFlame,SwordSimpleFire,true
3,SwordMedium,FireFlame,SwordMediumFire,true
4,SwordHeavy,FireFlame,SwordHeavyFire,true
5,ShieldSimple,FireFlame,ShieldSimpleFire,true
6,ShieldMedium,FireFlame,ShieldMediumFire,true
7,ShieldHeavy,FireFlame,ShieldHeavyFire,true
8,SwordStarter,IceBlock,SwordStarterIce,true
9,SwordSimple,IceBlock,SwordSimpleIce,true
10,SwordMedium,IceBlock,SwordMediumIce,true
11,SwordHeavy,IceBlock,SwordHeavyIce,true
12,ShieldSimple,IceBlock,ShieldSimpleIce,true
13,ShieldMedium,IceBlock,ShieldMediumIce,true
14,ShieldHeavy,IceBlock,ShieldHeavyIce,true
15,RottenApple,HPPotionSmall,NiceApple,true
16,RottenApple,HPPotionMedium,NiceApple,true
17,RottenApple,HPPotionBig,NiceApple,true
18,NiceApple,NiceApple,ApplePie,true
19,FireFlame,IceBlock,Water,true
20,SwordStarterFire,Water,SwordStarter,false
21,SwordSimpleFire,Water,SwordSimple,false
22,SwordMediumFire,Water,SwordMedium,false
23,SwordHeavyFire,Water,SwordHeavy,false
24,ShieldSimpleFire,Water,ShieldSimple,false
25,ShieldMediumFire,Water,ShieldMedium,false
26,ShieldHeavyFire,Water,ShieldHeavy,false
27,SwordStarterFire,IceBlock,SwordStarter,false
28,SwordSimpleFire,IceBlock,SwordSimple,false
29,SwordMediumFire,IceBlock,SwordMedium,false
30,SwordHeavyFire,IceBlock,SwordHeavy,false
31,ShieldSimpleFire,IceBlock,ShieldSimple,false
32,ShieldMediumFire,IceBlock,ShieldMedium,false
33,ShieldHeavyFire,IceBlock,ShieldHeavy,false
34,SwordStarterIce,FireFlame,SwordStarter,false
35,SwordSimpleIce,FireFlame,SwordSimple,false
36,SwordMediumIce,FireFlame,SwordMedium,false
37,SwordHeavyIce,FireFlame,SwordHeavy,false
38,ShieldSimpleIce,FireFlame,ShieldSimple,false
39,ShieldMediumIce,FireFlame,ShieldMedium,false
40,SwordHeavyIce,FireFlame,ShieldHeavy,false
41,Bone,LuckPotionSmall,LuckyBone,true
42,Bone,LuckPotionMedium,LuckyBone,true
43,Bone,LuckPotionBig,LuckyBone,true
44,ManlyMustache,IceBlock,FrozenMustache,true
45,FrozenMustache,FireFlame,ManlyMustache,false
46,EmptyCan,HPPotionSmall,CannedHP,true
47,EmptyCan,HPPotionMedium,CannedHP,true
48,EmptyCan,HPPotionBig,CannedHP,true
49,EmptyCan,MaxHPRing,CannedHP,true
50,EmptyCan,MaxHPRing2,CannedHP,true
51,EmptyCan,MaxHPPendant,CannedHP,true
52,EmptyCan,MaxHPPendant2,CannedHP,true
53,EmptyCan,DefPotionSmall,CannedDefense,true
54,EmptyCan,DefPotionMedium,CannedDefense,true
55,EmptyCan,DefPotionBig,CannedDefense,true
56,EmptyCan,DefRing,CannedDefense,true
57,EmptyCan,DefRing2,CannedDefense,true
58,EmptyCan,DefPendant,CannedDefense,true
59,EmptyCan,DefPendant2,CannedDefense,true
60,EmptyCan,AttPotionSmall,CannedAttack,true
61,EmptyCan,AttPotionMedium,CannedAttack,true
62,EmptyCan,AttPotionBig,CannedAttack,true
63,EmptyCan,AttRing,CannedAttack,true
64,EmptyCan,AttRing2,CannedAttack,true
65,EmptyCan,AttPendant,CannedAttack,true
66,EmptyCan,AttPendant2,CannedAttack,true
67,EmptyCan,LuckPotionSmall,CannedLuck,true
68,EmptyCan,LuckPotionMedium,CannedLuck,true
69,EmptyCan,LuckPotionBig,CannedLuck,true
70,EmptyCan,LuckRing,CannedLuck,true
71,EmptyCan,LuckRing2,CannedLuck,true
72,EmptyCan,LuckPendant,CannedLuck,true
73,EmptyCan,LuckPendant2,CannedLuck,true
74,NiceApple,Poison,RottenApple,false
75,NiceApple,IceBlock,AppleIceCream,true
76,Strawberry,IceBlock,StrawberryIceCream,true
77,ManlyMustache,ManlyMustache,ManlyBeard,true
78,TemporalTattoo,Water,Paper,true
79,Paper,Paper,PaperBook,true
80,Water,Seeds,Strawberry,true
81,Bone,Poison,PirateFlag,true
82,MrFriendlyRock,MsFriendlyRock,FriendlyRockJr,true